都府県振興局,観測所番号,種類,観測所名,ｶﾀｶﾅ名,気象情報等に表記する名称,所在地,緯度(度),緯度(分),経度(度),経度(分),海面上の高さ(ｍ),風速計の高さ(ｍ),温度計の高さ(ｍ),観測開始年月日,備考1,備考2,latitude,longitude,観測所種別,temp_jan,temp_feb,temp_mar,temp_apr,temp_may,temp_jun,temp_jul,temp_aug,temp_sep,temp_oct,temp_nov,temp_dec,rain_jan,rain_feb,rain_mar,rain_apr,rain_may,rain_jun,rain_jul,rain_aug,rain_sep,rain_oct,rain_nov,rain_dec
上川,12746,四,占冠,ｼﾑｶｯﾌﾟ,占冠,勇払郡占冠村中央,42,58.7,142,23.7,332,10,1.5,昭52.10.7,12950,湿度を除く,42.97833333333333,142.395,2,-9.8,-8.9,-3.7,3.0,9.9,14.8,18.9,19.3,14.6,7.5,0.7,-6.4,46.6,43.7,65.6,85.9,104.4,77.7,143.5,216.4,167.3,137.2,117.0,77.2
上川,15041,四,朱鞠内,ｼｭﾏﾘﾅｲ,幌加内町朱鞠内,雨竜郡幌加内町朱鞠内,44,16.9,142,9.7,255,9.9,1.5,昭53.10.24,15900,－,44.281666666666666,142.16166666666666,2,-9.1,-8.6,-4.0,2.3,8.7,14.1,18.2,18.6,13.8,7.1,0.5,-5.9,136.6,109.8,100.6,72.4,81.4,76.4,153.9,180.2,187.3,177.6,213.2,207.7
上川,15076,四,幌加内,ﾎﾛｶﾅｲ,幌加内町幌加内,雨竜郡幌加内町幌加内,44,0.6,142,9.6,159,9.4,1.5,(昭50.5.28)昭52.10.28,15905,湿度を除く,44.01,142.16,2,-8.4,-7.7,-3.0,3.2,10.5,15.7,19.7,20.0,15.3,8.4,1.5,-5.2,120.9,97.3,80.3,63.4,81.0,71.1,144.2,161.4,169.3,161.0,182.7,171.3
留萌,13061,四,天塩,ﾃｼｵ,天塩,天塩郡天塩町川口,44,53.6,141,45.7,9,9.9,1.5,#昭52.10.26,13900,－,44.89333333333333,141.76166666666666,2,-5.4,-5.3,-1.4,4.3,9.6,13.8,18.1,19.5,16.2,10.4,3.5,-2.5,44.6,31.5,34.4,41.4,61.2,56.0,109.2,123.5,124.1,127.0,100.5,60.1
留萌,13086,四,遠別,ｴﾝﾍﾞﾂ,遠別,天塩郡遠別町幸和,44,43.1,141,48.4,7,10,1.5,#昭52.10.26,－,湿度を除く,44.718333333333334,141.80666666666667,2,-5.8,-5.6,-1.4,4.6,10.4,14.8,18.9,20.0,16.3,10.2,3.4,-2.8,73.3,52.4,53.1,50.2,68.9,65.0,123.0,142.5,126.0,134.9,129.4,97.4
留萌,13121,四,初山別,ｼｮｻﾝﾍﾞﾂ,初山別,苫前郡初山別村初山別,44,31.4,141,46.2,27,9.9,1.5,昭52.10.28,13905,－,44.52333333333333,141.77,2,-4.6,-4.4,-0.6,5.1,10.6,14.9,19.0,20.2,16.7,10.9,4.2,-1.8,56.7,43.1,46.5,49.2,72.2,64.9,128.8,136.1,135.9,143.6,135.3,87.6
留萌,13146,四,焼尻,ﾔｷﾞｼﾘ,羽幌町焼尻,苫前郡羽幌町焼尻白浜,44,25.7,141,25.3,38,8,1.5,昭52.10.27,－,湿度を除く,44.428333333333335,141.42166666666665,2,-3.3,-3.1,0.3,5.3,10.1,14.4,18.6,20.7,18.1,12.3,4.9,-1.2,47.8,32.2,32.6,37.8,59.3,58.2,109.1,118.2,124.8,117.1,105.9,70.4
留萌,13181,官,羽幌,ﾊﾎﾞﾛ,羽幌町南３条,苫前郡羽幌町南3条　羽幌特別地域気象観測所,44,21.8,141,42.0,8,21.6,－,#昭51.1.1,13907,－,44.36333333333334,141.7,1,-4.3,-4.0,-0.1,5.5,11.2,15.5,19.6,20.9,17.4,11.2,4.4,-1.7,116.5,82.2,67.8,58.1,72.2,67.8,129.8,136.6,143.8,152.0,161.1,149.9
留萌,13261,四,達布,ﾀｯﾌﾟ,小平町達布,留萌郡小平町達布,44,2.9,141,51.4,30,10,3.4,昭52.10.31,－,湿度を除く,44.04833333333333,141.85666666666663,2,-6.4,-5.9,-1.6,4.2,11.0,15.8,19.9,20.5,15.9,9.2,2.7,-3.5,155.2,106.7,90.9,74.2,88.0,73.9,148.1,167.8,172.0,178.5,202.9,198.9
留萌,13277,官,留萌,ﾙﾓｲ,留萌市大町,留萌市大町　留萌特別地域気象観測所,43,56.7,141,37.9,24,16.3,－,昭55.6.21,13915,－,43.945,141.63166666666666,1,-4.1,-3.7,0.0,5.5,11.1,15.4,19.6,20.9,17.2,11.1,4.4,-1.5,95.8,68.5,53.5,43.2,59.7,56.3,113.9,126.6,145.4,131.4,140.0,119.9
留萌,13311,四,増毛,ﾏｼｹ,増毛,増毛郡増毛町別苅,43,50.9,141,30.6,20,9.4,1.5,#昭53.10.24,－,湿度を除く,43.848333333333336,141.51,2,-3.3,-3.0,0.5,6.0,11.4,15.4,19.5,20.9,17.4,11.5,4.9,-1.0,79.5,52.2,48.2,42.1,54.6,54.4,104.3,121.6,143.4,142.3,145.6,98.0
留萌,13321,四,幌糠,ﾎﾛﾇｶ,留萌市幌糠,留萌市幌糠町,43,51.2,141,45.6,20,10,1.5,昭52.10.31,13920,湿度を除く,43.85333333333333,141.76,2,-6.5,-6.1,-1.8,3.9,10.9,15.5,19.6,20.3,15.7,9.1,2.5,-3.6,161.5,106.9,82.4,57.2,66.7,59.8,119.4,135.4,162.4,160.4,202.8,194.4
石狩,14026,四,浜益,ﾊﾏﾏｽ,石狩市浜益,石狩市浜益区川下,43,34.9,141,23.2,3,9.9,1.5,昭52.10.12,－,－,43.58166666666666,141.38666666666666,2,-3.3,-3.1,0.3,5.9,11.6,16.1,20.0,21.2,17.5,11.5,5.0,-0.8,92.3,64.3,54.1,53.1,73.7,57.7,123.9,135.5,144.6,133.1,137.6,104.2
