都府県振興局,観測所番号,種類,観測所名,ｶﾀｶﾅ名,気象情報等に表記する名称,所在地,緯度(度),緯度(分),経度(度),経度(分),海面上の高さ(ｍ),風速計の高さ(ｍ),温度計の高さ(ｍ),観測開始年月日,備考1,備考2,latitude,longitude
秋田,32402,官,秋田,ｱｷﾀ,秋田,秋田市山王　秋田地方気象台,39,43.0,140,5.9,6,40.8,－,平元.10.30,32927,－,39.71666666666667,140.09833333333333
秋田,32451,官,雄和,ﾕｳﾜ,秋田市雄和,秋田市雄和椿川字山籠　秋田航空気象観測所,39,36.9,140,13.1,93,10,－,平15.1.1,32965,日照・湿度・気圧を除く,39.615,140.21833333333333
岩手,33431,官,盛岡,ﾓﾘｵｶ,盛岡,盛岡市山王町　盛岡地方気象台,39,41.9,141,9.9,155,15.5,－,#昭50.4.1,33927,－,39.69833333333333,141.165
岩手,33472,官,宮古,ﾐﾔｺ,宮古,宮古市鍬ケ崎下町　宮古特別地域気象観測所,39,38.8,141,57.9,43,20.3,－,平2.10.18,33933,－,39.64666666666667,141.965
岩手,33576,官,花巻,ﾊﾅﾏｷ,花巻,花巻市葛第3地割　花巻航空気象観測所,39,25.7,141,8.1,90,10,－,平15.1.1,－,日照・湿度・気圧を除く,39.428333333333335,141.135
岩手,33877,官,大船渡,ｵｵﾌﾅﾄ,大船渡,大船渡市大船渡町字赤沢　大船渡特別地域気象観測所,39,3.8,141,42.8,37,22.2,－,#平2.3.15,33947,－,39.06333333333333,141.71333333333334
宮城,34292,官,石巻,ｲｼﾉﾏｷ,石巻,石巻市泉町　石巻特別地域気象観測所,38,25.6,141,17.9,43,28.6,－,平2.1.25,34913,－,38.42666666666667,141.29833333333335
宮城,34392,官,仙台,ｾﾝﾀﾞｲ,仙台,仙台市宮城野区五輪　仙台管区気象台,38,15.7,140,53.8,39,52.6,－,#昭57.3.1,34917,－,38.26166666666666,140.89666666666668
宮城,34436,官,名取,ﾅﾄﾘ,名取,名取市下増田字南原　仙台航空測候所,38,8.3,140,55.0,2,9.9,－,平15.1.1,34965,日照・湿度・気圧を除く,38.138333333333335,140.91666666666666
山形,35052,官,酒田,ｻｶﾀ,酒田,酒田市亀ケ崎　酒田特別地域気象観測所,38,54.5,139,50.6,3,26.6,－,#昭59.2.9,35955,－,38.90833333333333,139.84333333333333
山形,35086,官,浜中,ﾊﾏﾅｶ,酒田市浜中,酒田市浜中字村東　庄内航空気象観測所,38,48.7,139,47.2,22,10,－,平15.1.1,－,日照・湿度・気圧を除く,38.81166666666667,139.78666666666666
山形,35162,官,新庄,ｼﾝｼﾞｮｳ,新庄,新庄市東谷地田町　新庄特別地域気象観測所,38,45.4,140,18.7,105,31.6,－,#昭60.11.1,35907,－,38.75666666666667,140.31166666666667
山形,35334,官,東根,ﾋｶﾞｼﾈ,東根,東根市大字羽入字柏原新林　山形航空気象観測所,38,24.7,140,22.2,105,10,－,平15.1.1,－,日照・湿度・気圧を除く,38.41166666666667,140.37
山形,35426,官,山形,ﾔﾏｶﾞﾀ,山形,山形市緑町　山形地方気象台,38,15.3,140,20.7,153,14.9,－,#昭50.3.17,35927,－,38.255,140.345
福島,36127,官,福島,ﾌｸｼﾏ,福島,福島市松木町　福島地方気象台,37,45.5,140,28.2,67,－,－,令3.3.18,36955,気温、雨、日照,37.75833333333333,140.47
福島,36361,官,若松,ﾜｶﾏﾂ,若松,会津若松市材木町　若松特別地域気象観測所,37,29.3,139,54.6,212,19.1,－,#昭50.3.17,36923,－,37.48833333333334,139.91
福島,36581,官,玉川,ﾀﾏｶﾜ,玉川,石川郡玉川村大字北須釜字はばき田　福島航空気象観測所,37,13.6,140,25.6,372,10,－,平15.1.1,36965,日照・湿度・気圧を除く,37.22666666666667,140.42666666666668
福島,36667,官,白河,ｼﾗｶﾜ,白河,白河市郭内　白河特別地域気象観測所,37,7.9,140,12.9,355,45.3,－,平6.1.28,36937,－,37.13166666666667,140.215
福島,36846,官,小名浜,ｵﾅﾊﾏ,小名浜,いわき市小名浜字船引場　小名浜特別地域気象観測所,36,56.8,140,54.2,3,－,－,#昭50.3.17,－,気温、雨、日照,36.946666666666665,140.90333333333334
