都府県振興局,観測所番号,種類,観測所名,ｶﾀｶﾅ名,気象情報等に表記する名称,所在地,緯度(度),緯度(分),経度(度),経度(分),海面上の高さ(ｍ),風速計の高さ(ｍ),温度計の高さ(ｍ),観測開始年月日,備考1,備考2,latitude,longitude
空知,15156,四,秩父別,ﾁｯﾌﾟﾍﾞﾂ,秩父別,雨竜郡秩父別町５条,43,46.8,141,57.7,51,7.9,1.5,令4.10.31,15940,－,43.78,141.96166666666667
空知,15161,四,深川,ﾌｶｶﾞﾜ,深川,深川市一已町一已,43,43.1,142,4.4,55,10,1.5,#昭52.10.7,15910,湿度を除く,43.718333333333334,142.07333333333332
空知,15231,四,空知吉野,ｿﾗﾁﾖｼﾉ,新十津川町空知吉野,樺戸郡新十津川町吉野,43,35.7,141,43.9,100,10,1.5,昭53.11.2,－,湿度を除く,43.595,141.73166666666665
空知,15241,四,滝川,ﾀｷｶﾜ,滝川,滝川市南滝の川,43,34.2,141,56.3,50,9.9,1.5,#昭51.4.1,15930,－,43.57,141.93833333333333
空知,15251,四,芦別,ｱｼﾍﾞﾂ,芦別市北２条,芦別市北2条東,43,31.2,142,11.4,91,10,1.5,#昭53.10.25,15915,湿度を除く,43.52,142.19
空知,15311,四,月形,ﾂｷｶﾞﾀ,月形,樺戸郡月形町知来乙,43,19.8,141,37.0,50,10,1.5,(昭50.5.16)昭52.10.6,－,湿度を除く,43.33,141.61666666666667
空知,15321,四,美唄,ﾋﾞﾊﾞｲ,美唄,美唄市北美唄町二区,43,21.8,141,49.6,16,10,1.5,#昭52.10.5,15920,湿度を除く,43.36333333333334,141.82666666666665
空知,15356,官,岩見沢,ｲﾜﾐｻﾞﾜ,岩見沢市５条,岩見沢市5条東　岩見沢特別地域気象観測所,43,12.7,141,47.1,42,22.1,－,#昭50.4.3,15923,－,43.211666666666666,141.785
空知,15431,四,長沼,ﾅｶﾞﾇﾏ,長沼,夕張郡長沼町本町北,43,0.7,141,41.6,13,10.1,2.5,#昭52.10.5,－,－,43.01166666666666,141.69333333333333
空知,15442,四,夕張,ﾕｳﾊﾞﾘ,夕張市鹿の谷,夕張市鹿の谷山手町,43,2.3,141,57.4,293,10.1,1.5,#昭51.4.1,15925,－,43.038333333333334,141.95666666666668
後志,16026,四,美国,ﾋﾞｸﾆ,積丹町美国,積丹郡積丹町美国町船澗,43,16.3,140,33.8,75,10,1.5,#昭52.10.25,－,湿度を除く,43.27166666666667,140.56333333333333
後志,16061,四,神恵内,ｶﾓｴﾅｲ,神恵内,古宇郡神恵内村神恵内村,43,8.7,140,25.4,50,9.9,1.5,昭52.10.24,－,－,43.145,140.42333333333335
後志,16076,四,余市,ﾖｲﾁ,余市,余市郡余市町豊丘町,43,10.9,140,45.5,20,10,1.5,#昭52.10.31,16905,湿度を除く,43.181666666666665,140.75833333333333
後志,16091,官,小樽,ｵﾀﾙ,小樽,小樽市勝納町　小樽特別地域気象観測所,43,10.9,141,0.9,25,13.6,－,#昭50.12.23,16903,－,43.181666666666665,141.015
後志,16156,四,共和,ｷｮｳﾜ,共和,岩内郡共和町南幌似,42,58.8,140,36.2,15,10,1.5,#昭52.10.24,16910,湿度を除く,42.98,140.60333333333332
後志,16206,四,蘭越,ﾗﾝｺｼ,蘭越,磯谷郡蘭越町蘭越,42,48.6,140,32.5,39,8,1.5,#昭52.10.20,16915,湿度を除く,42.81,140.54166666666666
後志,16217,官,倶知安,ｸｯﾁｬﾝ,倶知安,虻田郡倶知安町南1条東　倶知安特別地域気象観測所,42,54.0,140,45.4,176,30.8,－,平3.8.28,16917,－,42.9,140.75666666666666
後志,16252,官,寿都,ｽｯﾂ,寿都,寿都郡寿都町新栄町　寿都特別地域気象観測所,42,47.7,140,13.4,33,17.6,－,平元.9.22,16918,－,42.795,140.22333333333333
後志,16281,四,真狩,ﾏｯｶﾘ,真狩,虻田郡真狩村美原,42,46.5,140,52.8,440,10,3.3,(昭50.7.1)昭53.10.27,－,湿度を除く,42.775,140.88
後志,16286,四,喜茂別,ｷﾓﾍﾞﾂ,喜茂別,虻田郡喜茂別町伏見,42,47.6,140,56.9,264,10,2.9,#昭52.10.21,16920,湿度を除く,42.79333333333334,140.94833333333332
後志,16321,四,黒松内,ｸﾛﾏﾂﾅｲ,黒松内,寿都郡黒松内町黒松内,42,39.8,140,18.6,27,10,1.5,#昭52.10.20,16925,湿度を除く,42.663333333333334,140.31
網走・北見・紋別,17036,官,雄武,ｵｳﾑ,雄武,紋別郡雄武町雄武　雄武特別地域気象観測所,44,34.8,142,57.8,14,16.6,－,#昭50.12.1,17903,－,44.58,142.96333333333334
網走・北見・紋別,17076,四,興部,ｵｺｯﾍﾟ,興部,紋別郡興部町興部,44,28.2,143,6.5,8,9.9,1.5,#昭52.10.28,－,－,44.47,143.10833333333332
網走・北見・紋別,17091,四,西興部,ﾆｼｵｺｯﾍﾟ,西興部,紋別郡西興部村西興部,44,19.9,142,56.1,120,8,2.5,(昭50.7.1)昭52.10.28,17900,湿度を除く,44.33166666666666,142.935
網走・北見・紋別,17112,官,紋別,ﾓﾝﾍﾞﾂ,紋別市南が丘町,紋別市南が丘町　紋別特別地域気象観測所,44,20.7,143,21.3,16,13.6,－,昭58.1.1,17904,－,44.345,143.355
網走・北見・紋別,17116,官,紋別小向,ﾓﾝﾍﾞﾂｺﾑｶｲ,紋別空港,紋別市小向　紋別航空気象観測所,44,18.2,143,24.2,18,10.4,－,平15.1.1,17960,日照・湿度・気圧を除く,44.303333333333335,143.40333333333334
網走・北見・紋別,17166,四,湧別,ﾕｳﾍﾞﾂ,湧別,紋別郡湧別町東,44,12.8,143,37.1,5,9.4,2.5,#昭52.10.26,－,湿度を除く,44.21333333333333,143.61833333333334
網走・北見・紋別,17196,四,滝上,ﾀｷﾉｳｴ,滝上,紋別郡滝上町滝ノ上原野5線南,44,10.6,143,3.7,165,10,2.5,#昭52.10.27,17905,湿度を除く,44.17666666666667,143.06166666666667
網走・北見・紋別,17246,四,常呂,ﾄｺﾛ,北見市常呂町,北見市常呂町岐阜,44,6.9,144,2.2,3,10,2.5,#昭52.10.21,－,湿度を除く,44.115,144.03666666666666
網走・北見・紋別,17306,四,遠軽,ｴﾝｶﾞﾙ,遠軽町遠軽,紋別郡遠軽町東町,44,3.2,143,32.4,80,10,2.5,#昭52.10.24,17910,湿度を除く,44.053333333333335,143.54
網走・北見・紋別,17316,四,佐呂間,ｻﾛﾏ,佐呂間,常呂郡佐呂間町西富,44,1.1,143,45.6,54,10,2.5,#昭52.10.21,17915,湿度を除く,44.01833333333333,143.76
