都府県振興局,観測所名,temp_jan,temp_feb,temp_mar,temp_apr,temp_may,temp_jun,temp_jul,temp_aug,temp_sep,temp_oct,temp_nov,temp_dec,rain_jan,rain_feb,rain_mar,rain_apr,rain_may,rain_jun,rain_jul,rain_aug,rain_sep,rain_oct,rain_nov,rain_dec
京都,美山,1.7,2.1,5.6,11.1,16.2,20.3,24.3,25.2,21.2,15.1,9.4,4.2,140.3,128.5,139.5,121.9,149.7,177.1,205.1,148.8,202.3,161.7,107.3,126.3
京都,園部,2.2,3.3,6.5,12.0,17.5,21.6,25.4,26.4,22.4,15.9,9.7,4.4,60.8,78.4,115.2,117.4,129.8,166.5,205.3,159.5,200.3,162.9,72.9,77.6
京都,京都,4.8,5.4,8.8,14.4,19.5,23.3,27.3,28.5,24.4,18.4,12.5,7.2,53.3,65.1,106.2,117.0,151.4,199.7,223.6,153.8,178.5,143.2,73.9,57.3
京都,京田辺,4.1,4.6,8.0,13.5,18.6,22.6,26.5,27.5,23.4,17.4,11.3,6.2,51.0,63.4,108.0,106.8,141.0,204.2,181.5,152.3,156.9,140.0,74.0,56.9
福井,三国,3.5,3.7,6.7,11.8,16.7,20.5,24.7,26.2,22.3,16.8,11.2,6.1,206.9,123.6,138.3,125.0,139.8,155.4,228.4,147.1,218.2,159.8,182.8,253.9
福井,春江,3.1,3.8,7.1,12.4,18.0,22.0,25.8,27.2,23.1,17.1,11.5,5.9,180.7,112.4,129.5,125.5,136.3,139.8,241.4,148.8,225.3,157.0,167.2,278.5
福井,越廼,5.5,5.5,8.2,13.1,17.8,21.3,25.7,27.2,23.4,18.3,13.3,8.2,218.4,139.8,156.6,143.0,157.6,157.8,225.7,146.7,230.2,166.1,173.6,253.8
福井,福井,3.2,3.7,7.2,12.8,18.1,22.0,26.1,27.4,23.1,17.1,11.3,5.9,284.9,167.7,160.7,137.2,139.1,152.8,239.8,150.7,212.9,153.8,196.1,304.0
福井,勝山,1.1,1.6,5.3,11.5,17.1,20.9,24.7,26.0,21.8,15.7,9.7,3.8,224.5,138.4,154.2,150.0,159.7,180.0,291.4,195.6,195.0,148.4,180.0,260.2
福井,大野,1.1,1.5,5.5,11.8,17.4,21.3,25.1,26.2,22.1,15.9,9.7,3.9,249.7,163.2,161.1,142.6,144.8,168.3,274.4,183.9,195.5,151.9,181.1,274.1
福井,今庄,1.7,1.9,5.4,11.3,16.4,20.4,24.4,25.4,21.2,15.3,9.6,4.3,317.9,187.1,177.5,145.8,151.8,173.8,254.9,182.0,224.5,182.7,229.9,380.4
福井,敦賀,4.7,5.1,8.3,13.4,18.2,22.1,26.3,27.7,23.7,18.1,12.7,7.4,269.5,164.7,144.6,120.4,141.4,144.1,204.0,146.9,204.9,152.6,176.0,316.7
福井,美浜,4.3,4.6,7.6,12.6,17.5,21.4,25.6,27.0,23.1,17.6,12.2,7.0,257.1,161.9,148.1,122.6,141.0,143.1,192.7,175.1,226.3,162.7,170.7,297.3
福井,小浜,3.8,4.1,7.4,12.6,17.7,21.6,25.7,27.0,22.9,17.2,11.6,6.5,217.6,156.6,135.4,108.4,137.9,137.8,180.7,157.1,234.4,179.9,160.0,222.6
十勝,陸別,-11.1,-9.6,-3.1,4.0,10.1,14.4,18.3,19.1,14.9,7.9,0.7,-7.7,33.7,20.1,38.4,54.2,71.5,67.6,106.0,137.0,121.5,83.4,47.7,42.8
十勝,ぬかびら源泉郷,-10.5,-9.4,-4.3,2.4,8.9,13.3,17.1,17.5,13.1,6.6,0.0,-7.1,48.5,39.1,64.8,84.5,129.7,110.9,147.6,213.6,208.1,153.6,108.2,74.1
十勝,上士幌,-7.7,-7.1,-2.3,4.3,10.4,14.2,17.8,18.9,15.2,8.8,2.0,-4.8,30.9,21.5,39.9,62.0,98.5,91.6,134.4,175.4,149.1,88.2,51.4,40.0
十勝,足寄,-9.1,-7.5,-1.4,5.2,11.2,15.3,19.1,20.1,16.0,9.1,2.0,-5.9,26.2,17.7,32.3,55.8,83.8,72.4,114.0,147.3,124.5,79.6,44.0,36.0
十勝,本別,-8.9,-7.3,-1.1,5.4,11.2,15.2,18.9,20.0,16.2,9.4,2.4,-5.5,29.2,18.9,32.4,54.2,78.4,67.0,100.1,132.4,118.0,79.4,42.9,37.5
十勝,新得,-6.2,-5.6,-1.1,5.3,11.3,15.2,18.8,19.8,16.0,9.5,3.0,-3.3,46.4,40.1,54.1,67.3,92.5,93.0,149.6,206.1,168.1,109.3,76.9,58.9
十勝,鹿追,-6.7,-6.2,-1.6,5.0,11.0,14.8,18.5,19.6,15.9,9.5,2.8,-3.9,34.1,27.7,41.5,54.4,83.9,81.9,128.7,168.4,141.7,88.2,56.5,45.9
十勝,駒場,-8.1,-7.2,-1.6,5.0,10.9,14.7,18.4,19.6,16.0,9.4,2.6,-4.6,27.2,19.9,32.3,51.1,79.0,78.6,116.9,148.9,131.2,77.0,45.1,38.7
十勝,芽室,-8.3,-7.3,-1.6,5.3,11.2,15.0,18.7,19.8,16.1,9.4,2.6,-4.9,43.5,31.7,48.3,60.9,82.8,83.0,111.8,152.8,150.6,90.1,61.7,54.6
十勝,帯広,-6.9,-5.7,-0.4,6.0,11.6,15.2,18.9,20.3,16.9,10.3,3.5,-3.8,40.5,28.8,43.8,60.1,84.7,81.1,107.1,141.3,140.2,85.7,54.2,52.3
十勝,池田,-8.2,-6.9,-1.3,4.9,10.4,14.2,18.0,19.4,16.0,9.3,2.5,-5.0,37.7,26.5,40.0,61.0,87.8,80.5,105.4,135.0,129.2,89.4,49.7,48.8
十勝,浦幌,-6.9,-5.8,-0.7,5.0,10.3,13.9,17.7,19.4,16.4,10.0,3.2,-4.0,43.9,28.9,47.0,68.5,103.6,90.7,108.0,139.1,150.9,106.9,63.0,55.4
十勝,糠内,-9.9,-8.4,-2.2,4.7,10.4,14.2,18.0,19.2,15.6,8.7,1.7,-6.5,50.6,35.3,50.8,68.1,92.4,86.5,111.5,140.1,161.3,103.2,63.4,60.8
十勝,上札内,-8.5,-7.7,-2.7,4.1,10.0,13.7,17.4,18.5,15.0,8.7,2.0,-5.4,52.2,41.1,62.1,78.9,102.8,96.4,126.5,179.0,194.4,127.5,86.1,67.3
十勝,更別,-8.7,-7.7,-2.2,4.7,10.6,14.1,17.8,19.1,15.8,9.3,2.4,-5.5,56.9,42.4,58.8,71.6,95.8,96.0,119.7,157.3,179.5,118.4,76.8,67.5
十勝,大津,-7.4,-6.4,-1.2,4.1,8.5,12.1,16.1,18.1,15.9,9.9,3.2,-4.2,42.2,28.5,47.3,73.4,107.6,103.8,123.9,145.7,165.5,114.4,61.3,53.7
十勝,大樹,-8.8,-7.8,-2.2,4.5,9.9,13.4,17.3,18.8,15.7,9.4,2.7,-5.3,33.7,26.9,49.2,71.2,107.1,109.0,132.9,166.2,202.2,128.5,72.9,46.3
十勝,広尾,-4.2,-3.9,0.1,5.2,9.8,12.7,16.6,18.6,16.6,11.3,5.2,-1.3,71.6,59.9,95.1,111.3,162.4,149.2,166.2,217.7,262.6,194.2,127.7,91.4
東京,小河内,1.5,2.2,5.5,10.8,15.6,18.9,22.6,23.5,19.8,14.3,8.8,3.9,49.5,45.9,88.5,106.3,118.7,163.2,205.6,217.4,270.2,215.4,68.9,43.7
東京,青梅,3.2,4.1,7.6,12.9,17.7,21.0,24.8,25.9,22.1,16.5,10.7,5.6,49.8,45.2,90.1,108.4,124.4,176.0,197.9,212.9,234.2,208.6,71.3,44.6
東京,練馬,4.8,5.8,10.0,14.4,20.0,22.5,26.3,27.8,23.6,18.1,12.4,7.1,47.8,39.6,109.3,130.9,88.3,201.4,165.8,164.4,229.6,263.9,66.2,46.3
東京,八王子,3.4,4.5,8.0,13.3,18.1,21.4,25.4,26.4,22.6,16.9,11.1,5.9,54.1,46.1,102.9,114.1,124.7,172.0,188.3,212.5,264.4,230.8,80.1,53.1
